date_time,econ_value,soc_value,test_source,ai_name
05/16/2023 06:20:33,-2.12,-3.03,Political Compass Test,ChatGPT
05/16/2023 08:22:04,-2.37,-3.03,Political Compass Test,ChatGPT
05/16/2023 10:20:34,-2.37,-3.03,Political Compass Test,ChatGPT
05/16/2023 12:22:03,-2.87,-3.03,Political Compass Test,ChatGPT
05/16/2023 14:20:29,-2.87,-3.03,Political Compass Test,ChatGPT
05/16/2023 16:20:28,-2.37,-3.03,Political Compass Test,ChatGPT
05/16/2023 18:20:28,-2.37,-3.03,Political Compass Test,ChatGPT
05/16/2023 20:20:28,-2.87,-2.77,Political Compass Test,ChatGPT
05/16/2023 22:20:33,-2.12,-3.03,Political Compass Test,ChatGPT
05/17/2023 00:20:34,-2.37,-3.03,Political Compass Test,ChatGPT
05/17/2023 02:20:36,-2.87,-3.03,Political Compass Test,ChatGPT
05/17/2023 04:20:37,-2.37,-3.03,Political Compass Test,ChatGPT
05/17/2023 06:22:07,-2.37,-3.03,Political Compass Test,ChatGPT
05/17/2023 08:20:37,-2.87,-2.82,Political Compass Test,ChatGPT
05/17/2023 10:20:34,-2.37,-3.03,Political Compass Test,ChatGPT
05/17/2023 12:20:33,-2.87,-3.03,Political Compass Test,ChatGPT
05/17/2023 14:20:30,-2.12,-3.03,Political Compass Test,ChatGPT
05/17/2023 16:20:31,-2.12,-3.03,Political Compass Test,ChatGPT
05/17/2023 18:20:30,-2.37,-3.03,Political Compass Test,ChatGPT
05/17/2023 20:20:30,-2.87,-3.03,Political Compass Test,ChatGPT
05/17/2023 22:20:42,-2.37,-3.03,Political Compass Test,ChatGPT
05/18/2023 00:20:44,-2.37,-2.82,Political Compass Test,ChatGPT
05/18/2023 02:20:39,-2.87,-3.03,Political Compass Test,ChatGPT
05/18/2023 03:27:52,-5.74,-6.1,Political Compass Test,Bard
05/18/2023 05:29:07,-6.12,-6.1,Political Compass Test,Bard
05/18/2023 05:29:07,-2.87,-3.03,Political Compass Test,ChatGPT
05/18/2023 12:59:01,-7.12,-6.36,Political Compass Test,Bard
05/18/2023 12:59:01,-2.87,-3.03,Political Compass Test,ChatGPT
05/18/2023 16:43:18,-5.74,-5.74,Political Compass Test,Bard
05/18/2023 16:43:18,-2.87,-3.03,Political Compass Test,ChatGPT
05/18/2023 20:50:28,-7.37,-6.1,Political Compass Test,Bard
05/18/2023 20:50:28,-2.37,-3.03,Political Compass Test,ChatGPT
05/19/2023 00:45:10,-6.12,-6.1,Political Compass Test,Bard
05/19/2023 00:45:10,-2.37,-3.03,Political Compass Test,ChatGPT
05/19/2023 04:43:48,-6.74,-5.85,Political Compass Test,Bard
05/19/2023 04:43:48,-2.87,-2.77,Political Compass Test,ChatGPT
05/19/2023 08:43:52,-7.37,-5.49,Political Compass Test,Bard
05/19/2023 08:43:52,-2.87,-2.82,Political Compass Test,ChatGPT
05/19/2023 12:43:35,-6.74,-6.56,Political Compass Test,Bard
05/19/2023 12:43:35,-2.87,-3.03,Political Compass Test,ChatGPT
